,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
28,Canada,2020-03-05,4,71.87,71.13,72.38,70.5,924.13K,0.41%
29,Canada,2020-03-06,12,72.35,71.24,72.87,71.0,1.06M,0.67%
30,Canada,2020-03-09,13,67.11,67.36,71.45,67.0,1.61M,-7.24%
31,Canada,2020-03-10,2,67.97,68.5,69.31,67.32,1.48M,1.28%
32,Canada,2020-03-11,29,66.64,67.62,69.19,66.46,1.54M,-1.96%
33,Canada,2020-03-12,9,59.47,65.18,65.18,59.1,1.93M,-10.76%
34,Canada,2020-03-13,76,66.49,61.2,66.77,60.38,2.09M,11.80%
35,Canada,2020-03-16,163,64.6,60.01,66.44,60.0,1.70M,-2.84%
36,Canada,2020-03-17,63,69.75,66.86,72.88,66.6,2.13M,7.97%
37,Canada,2020-03-18,179,67.29,68.22,71.64,66.7,1.79M,-3.53%
38,Canada,2020-03-19,143,66.8,67.55,68.32,66.43,1.55M,-0.73%
39,Canada,2020-03-20,143,66.75,67.27,69.2,66.38,2.15M,-0.07%
40,Canada,2020-03-23,619,59.7,66.72,67.31,59.01,1.20M,-10.56%
41,Canada,2020-03-24,702,63.64,61.79,63.64,60.44,1.11M,6.60%
42,Canada,2020-03-25,461,67.21,63.58,69.25,62.58,1.10M,5.61%
43,Canada,2020-03-26,791,68.6,67.76,68.99,66.68,907.22K,2.07%
44,Canada,2020-03-27,640,67.22,67.87,68.69,65.92,630.40K,-2.01%
45,Canada,2020-03-30,1118,69.14,68.0,69.25,65.29,769.88K,2.86%
46,Canada,2020-03-31,1129,72.55,68.38,72.91,68.05,1.28M,4.93%
47,Canada,2020-04-01,1033,71.97,71.07,72.65,70.33,1.52M,-0.80%
48,Canada,2020-04-02,1724,71.01,71.32,72.32,69.9,816.01K,-1.33%
49,Canada,2020-04-03,1153,72.48,71.17,72.64,70.81,769.99K,2.07%
50,Canada,2020-04-06,807,75.44,74.0,76.42,73.61,1.10M,4.08%
51,Canada,2020-04-07,1309,75.22,75.57,77.0,74.32,1.14M,-0.29%
52,Canada,2020-04-08,1269,74.69,75.79,76.0,73.91,712.38K,-0.70%
53,Canada,2020-04-09,1513,71.97,74.85,75.02,71.79,1.16M,-3.64%
54,Canada,2020-04-13,1381,72.59,71.81,72.72,71.09,532.66K,0.86%
55,Canada,2020-04-14,1355,73.17,72.96,73.82,72.42,689.51K,0.80%
56,Canada,2020-04-15,1174,72.83,73.21,73.99,72.3,801.93K,-0.46%
57,Canada,2020-04-16,2600,73.47,73.7,74.24,73.07,602.56K,0.88%
58,Canada,2020-04-17,2005,73.93,74.6,74.6,72.65,755.29K,0.63%
59,Canada,2020-04-20,2025,74.72,73.3,74.87,72.79,445.83K,1.07%
60,Canada,2020-04-21,1744,72.89,73.82,74.79,72.73,669.27K,-2.45%
61,Canada,2020-04-22,2261,74.95,72.97,75.22,72.97,832.03K,2.83%
62,Canada,2020-04-23,1636,74.32,74.47,75.01,73.95,570.22K,-0.84%
63,Canada,2020-04-24,1620,74.5,74.31,75.07,74.05,567.96K,0.24%
64,Canada,2020-04-27,1583,75.0,75.25,75.47,73.75,501.37K,0.67%
65,Canada,2020-04-28,1534,73.37,75.14,75.44,73.37,1.03M,-2.17%
66,Canada,2020-04-29,1715,70.55,74.0,74.19,70.17,1.07M,-3.84%
67,Canada,2020-04-30,1592,68.5,70.75,70.8,68.27,1.41M,-2.91%
68,Canada,2020-05-01,1886,68.08,68.03,68.79,67.6,454.69K,-0.61%
