,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
24,Canada,2020-03-02,3,64.2,63.0,64.28,62.13,6.73K,3.82%
25,Canada,2020-03-03,3,64.5,64.7,66.56,64.5,3.55K,0.47%
26,Canada,2020-03-04,3,66.0,65.99,66.0,65.31,2.50K,2.33%
27,Canada,2020-03-05,4,65.6,65.2,65.75,65.2,0.76K,-0.61%
28,Canada,2020-03-06,12,63.81,63.06,65.11,62.1,2.09K,-2.73%
29,Canada,2020-03-09,13,60.27,61.6,62.5,59.5,8.29K,-5.55%
30,Canada,2020-03-10,2,60.2,64.99,64.99,60.2,3.90K,-0.12%
31,Canada,2020-03-11,29,60.5,61.0,62.0,60.5,4.22K,0.50%
32,Canada,2020-03-12,9,53.36,58.47,58.47,51.75,6.03K,-11.80%
33,Canada,2020-03-13,76,58.0,53.58,58.0,53.58,3.70K,8.70%
34,Canada,2020-03-16,163,57.45,52.13,58.32,50.5,5.94K,-0.95%
35,Canada,2020-03-17,63,60.07,58.0,60.07,56.69,2.84K,4.56%
36,Canada,2020-03-18,179,56.92,56.42,58.15,55.01,5.10K,-5.24%
37,Canada,2020-03-19,143,56.31,56.7,56.7,55.52,1.41K,-1.07%
38,Canada,2020-03-20,143,56.0,62.85,62.85,56.0,2.17K,-0.55%
39,Canada,2020-03-23,619,51.49,54.48,54.48,50.0,7.71K,-8.05%
40,Canada,2020-03-24,702,54.85,52.0,54.85,52.0,2.31K,6.53%
41,Canada,2020-03-25,461,56.5,55.0,59.98,54.85,3.12K,3.01%
42,Canada,2020-03-26,791,58.96,56.11,60.0,56.11,3.90K,4.35%
43,Canada,2020-03-27,640,57.9,58.9,61.0,56.67,2.25K,-1.80%
44,Canada,2020-03-30,1118,59.0,58.48,59.0,57.0,1.26K,1.90%
45,Canada,2020-03-31,1129,62.0,60.91,62.43,60.51,1.91K,5.08%
46,Canada,2020-04-01,1033,60.0,60.46,60.46,59.99,0.97K,-3.23%
47,Canada,2020-04-02,1724,60.02,59.54,62.0,58.25,0.76K,0.03%
48,Canada,2020-04-03,1153,60.03,60.02,60.03,59.73,0.98K,0.02%
49,Canada,2020-04-06,807,63.0,62.98,63.0,62.19,1.77K,4.95%
50,Canada,2020-04-07,1309,64.56,65.0,65.0,64.11,1.10K,2.48%
51,Canada,2020-04-08,1269,63.44,63.34,64.45,62.75,1.56K,-1.73%
52,Canada,2020-04-09,1513,62.56,63.45,63.45,62.56,2.88K,-1.39%
53,Canada,2020-04-13,1381,63.14,65.03,65.03,62.57,1.57K,0.93%
54,Canada,2020-04-14,1355,63.49,61.91,63.49,61.91,0.68K,0.55%
55,Canada,2020-04-15,1174,62.5,62.15,62.99,62.15,1.06K,-1.56%
56,Canada,2020-04-16,2600,62.3,61.9,62.3,61.84,0.72K,-0.32%
57,Canada,2020-04-17,2005,61.13,62.42,62.45,61.06,1.69K,-1.88%
58,Canada,2020-04-20,2025,63.0,60.75,63.0,60.75,0.71K,3.06%
