,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
122,Canada,2020-10-08,2350,12.6,12.01,12.68,12.0,7.19K,5.09%
123,Canada,2020-10-09,2895,12.79,11.91,12.79,11.91,1.40K,1.51%
124,Canada,2020-10-15,2298,11.92,12.25,12.25,11.92,0.40K,-6.80%
125,Canada,2020-10-16,2566,11.95,11.95,11.95,11.95,0.60K,0.25%
126,Canada,2020-10-19,3307,12.0,12.0,12.0,12.0,0.50K,0.42%
127,Canada,2020-10-20,2238,12.25,12.25,12.25,12.25,0.20K,2.08%
128,Canada,2020-10-23,2902,12.1,12.1,12.1,12.1,0.70K,-1.22%
129,Canada,2020-10-26,4099,12.7,12.7,12.7,12.7,0.20K,4.96%
130,Canada,2020-10-29,3017,12.0,12.0,12.0,12.0,2.80K,-5.51%
131,Canada,2020-10-30,3556,11.58,11.55,11.58,11.55,1.00K,-3.50%
132,Canada,2020-11-02,3529,11.23,11.23,11.23,11.23,0.40K,-3.02%
133,Canada,2020-11-05,2784,12.05,12.09,12.09,12.05,0.60K,7.30%
134,Canada,2020-11-09,4871,12.35,12.35,12.35,12.35,3.00K,2.49%
135,Canada,2020-11-11,3984,12.5,12.4,12.71,12.4,2.20K,1.21%
136,Canada,2020-11-16,6033,12.2,12.4,12.4,12.11,2.23K,-2.40%
137,Canada,2020-11-17,4462,12.21,12.18,12.21,12.18,2.60K,0.08%
138,Canada,2020-11-18,4518,12.4,12.39,12.4,12.39,0.50K,1.56%
139,Canada,2020-11-19,4794,12.25,11.23,12.25,11.23,0.44K,-1.21%
140,Canada,2020-11-20,4987,12.23,12.4,12.4,12.23,1.95K,-0.16%
141,Canada,2020-11-23,6795,12.26,12.49,12.49,12.26,0.70K,0.25%
142,Canada,2020-11-24,5282,12.49,12.16,12.49,12.16,7.90K,1.88%
143,Canada,2020-11-25,4958,12.46,12.64,12.64,12.41,3.00K,-0.24%
144,Canada,2020-11-26,5679,12.4,12.46,12.46,12.4,0.50K,-0.48%
145,Canada,2020-11-27,5954,12.5,12.33,12.51,12.33,1.70K,0.81%
146,Canada,2020-11-30,7895,12.04,12.04,12.04,12.04,0.20K,-3.68%
147,Canada,2020-12-01,5495,12.68,12.57,12.68,12.57,0.50K,5.32%
148,Canada,2020-12-02,6454,13.19,12.71,13.25,12.71,19.00K,4.02%
149,Canada,2020-12-03,6264,13.2,13.2,13.2,13.2,1.30K,0.08%
150,Canada,2020-12-04,6419,13.2,13.18,13.2,13.18,2.20K,0.00%
151,Canada,2020-12-07,7724,13.25,13.2,13.25,13.2,16.40K,0.38%
152,Canada,2020-12-08,6171,13.3,13.25,13.31,13.25,1.00K,0.38%
153,Canada,2020-12-14,8377,13.25,13.25,13.25,13.25,0.37K,-0.38%
