,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
179,Canada,2020-10-09,2895,222.3,218.45,223.98,217.46,70.59K,4.09%
180,Canada,2020-10-13,4111,224.77,222.3,229.9,222.3,102.06K,1.11%
181,Canada,2020-10-14,2575,226.57,226.52,230.5,225.44,56.43K,0.80%
182,Canada,2020-10-15,2298,230.0,225.99,230.18,221.62,58.58K,1.51%
183,Canada,2020-10-16,2566,229.69,232.0,236.18,227.99,51.55K,-0.13%
184,Canada,2020-10-19,3307,229.07,229.72,232.0,224.37,63.43K,-0.27%
185,Canada,2020-10-20,2238,228.8,231.02,231.02,227.0,29.52K,-0.12%
186,Canada,2020-10-21,2687,225.91,227.64,228.32,225.9,34.75K,-1.26%
187,Canada,2020-10-22,2581,226.15,226.82,229.29,222.32,71.74K,0.11%
188,Canada,2020-10-23,2902,224.01,225.8,226.23,222.91,39.27K,-0.95%
189,Canada,2020-10-26,4099,220.64,222.03,224.0,217.62,35.96K,-1.50%
190,Canada,2020-10-27,2730,225.15,220.77,225.16,220.0,38.32K,2.04%
191,Canada,2020-10-28,2663,220.99,224.54,225.19,219.45,39.86K,-1.85%
192,Canada,2020-10-29,3017,221.75,224.24,224.39,221.17,32.71K,0.34%
193,Canada,2020-10-30,3556,218.82,219.42,220.51,213.34,46.47K,-1.32%
194,Canada,2020-11-02,3529,224.4,220.06,226.39,218.96,100.40K,2.55%
195,Canada,2020-11-03,4738,240.92,228.0,243.36,227.99,99.57K,7.36%
196,Canada,2020-11-04,2782,240.15,240.34,246.46,236.22,47.83K,-0.32%
197,Canada,2020-11-05,2784,245.68,246.9,247.47,242.5,33.74K,2.30%
198,Canada,2020-11-06,5393,242.55,247.88,247.88,241.32,36.69K,-1.27%
199,Canada,2020-11-09,4871,210.28,250.0,250.01,205.74,239.17K,-13.30%
200,Canada,2020-11-10,4445,204.39,211.91,215.54,199.13,115.00K,-2.80%
201,Canada,2020-11-11,3984,204.18,203.88,208.09,199.9,127.16K,-0.10%
202,Canada,2020-11-12,5474,210.33,209.45,213.0,206.7,97.12K,3.01%
203,Canada,2020-11-13,4770,214.39,214.21,217.34,212.9,53.25K,1.93%
204,Canada,2020-11-16,6033,213.34,214.83,215.04,211.5,39.60K,-0.49%
205,Canada,2020-11-17,4462,212.49,216.58,216.65,211.82,61.92K,-0.40%
206,Canada,2020-11-18,4518,207.91,212.5,218.08,206.0,65.40K,-2.16%
207,Canada,2020-11-19,4794,207.81,209.0,209.4,203.4,65.01K,-0.05%
208,Canada,2020-11-20,4987,207.05,207.39,208.72,203.0,48.93K,-0.37%
209,Canada,2020-11-23,6795,204.13,209.05,209.87,202.33,57.13K,-1.41%
210,Canada,2020-11-24,5282,200.68,204.78,205.38,194.4,160.42K,-1.69%
211,Canada,2020-11-25,4958,211.51,201.09,211.89,199.66,155.82K,5.40%
212,Canada,2020-11-26,5679,219.0,214.48,220.0,210.5,89.41K,3.54%
213,Canada,2020-11-27,5954,217.12,219.94,219.98,212.0,97.19K,-0.86%
214,Canada,2020-11-30,7895,222.17,218.0,224.72,216.55,103.46K,2.33%
215,Canada,2020-12-01,5495,212.5,216.0,219.51,210.65,184.11K,-4.35%
216,Canada,2020-12-02,6454,212.42,211.03,212.42,207.8,58.44K,-0.04%
217,Canada,2020-12-03,6264,216.02,211.02,217.0,211.01,106.88K,1.69%
218,Canada,2020-12-04,6419,215.77,214.75,216.29,213.57,158.23K,-0.12%
219,Canada,2020-12-07,7724,209.97,215.5,215.8,208.5,112.35K,-2.69%
220,Canada,2020-12-08,6171,207.0,210.0,210.87,206.61,69.65K,-1.41%
221,Canada,2020-12-09,6399,205.2,207.33,207.33,200.03,89.89K,-0.87%
222,Canada,2020-12-10,6686,206.29,202.09,206.43,201.03,46.95K,0.53%
223,Canada,2020-12-11,6715,209.35,205.31,209.62,203.85,54.73K,1.48%
224,Canada,2020-12-14,8377,212.65,210.51,214.93,210.3,74.70K,1.58%
