,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
65,Canada,2020-04-28,1534,43.77,43.99,44.25,43.38,526.49K,0.16%
66,Canada,2020-04-29,1715,44.53,43.95,44.71,43.56,645.64K,1.74%
67,Canada,2020-04-30,1592,43.66,44.14,44.42,43.22,845.10K,-1.95%
68,Canada,2020-05-01,1886,42.76,43.22,43.29,42.33,1.20M,-2.06%
69,Canada,2020-05-04,1453,42.6,42.51,43.03,42.35,1.20M,-0.37%
70,Canada,2020-05-05,1258,42.6,42.77,43.15,42.46,656.59K,0.00%
71,Canada,2020-05-06,1479,42.76,42.71,43.48,42.37,995.76K,0.38%
72,Canada,2020-05-07,1507,43.67,43.34,43.86,42.77,488.80K,2.13%
73,Canada,2020-05-08,1473,43.95,43.94,44.62,43.69,1.34M,0.64%
74,Canada,2020-05-11,1173,44.2,43.72,44.47,43.72,1.92M,0.57%
75,Canada,2020-05-12,1155,42.9,44.18,44.24,42.84,736.14K,-2.94%
76,Canada,2020-05-13,1149,42.04,42.81,43.27,41.78,582.49K,-2.00%
77,Canada,2020-05-14,1213,41.97,41.89,42.04,41.12,641.02K,-0.17%
78,Canada,2020-05-15,1178,42.0,41.68,42.27,41.61,513.72K,0.07%
79,Canada,2020-05-19,1082,43.6,42.7,43.94,42.47,811.46K,3.81%
80,Canada,2020-05-20,1082,43.16,44.0,44.25,43.02,827.03K,-1.01%
81,Canada,2020-05-21,1167,43.91,43.19,44.04,42.61,606.83K,1.74%
82,Canada,2020-05-22,1205,44.02,43.86,44.52,43.63,445.81K,0.25%
83,Canada,2020-05-25,1013,44.75,44.45,45.39,44.31,350.17K,1.66%
84,Canada,2020-05-26,971,44.59,45.01,45.35,44.13,607.75K,-0.36%
85,Canada,2020-05-27,899,44.9,44.91,45.68,44.34,533.49K,0.70%
86,Canada,2020-05-28,987,46.34,45.32,46.51,45.2,795.77K,3.21%
87,Canada,2020-05-29,933,46.68,46.33,46.82,46.0,1.02M,0.73%
88,Canada,2020-06-01,809,48.11,46.6,48.46,46.57,1.32M,3.06%
89,Canada,2020-06-02,672,49.24,48.11,49.84,48.11,1.01M,2.35%
90,Canada,2020-06-03,681,49.04,49.64,49.97,48.66,1.02M,-0.41%
91,Canada,2020-06-04,628,47.99,48.8,49.06,47.89,957.75K,-2.14%
92,Canada,2020-06-05,678,47.68,48.55,48.62,47.44,1.07M,-0.65%
93,Canada,2020-06-08,601,46.93,47.7,47.75,46.75,1.21M,-1.57%
94,Canada,2020-06-09,462,46.84,46.71,47.43,46.58,825.36K,-0.19%
95,Canada,2020-06-10,479,48.02,47.91,49.71,47.01,1.94M,2.52%
96,Canada,2020-06-11,439,46.98,47.57,47.69,46.53,983.50K,-2.17%
97,Canada,2020-06-12,436,47.9,47.68,48.44,47.43,924.12K,1.96%
98,Canada,2020-06-15,359,47.04,47.55,47.67,46.95,944.82K,-1.80%
99,Canada,2020-06-16,324,47.85,47.97,48.93,47.53,1.26M,1.72%
100,Canada,2020-06-17,404,46.4,47.0,47.8,46.32,1.55M,-3.03%
101,Canada,2020-06-18,386,46.59,46.39,46.84,46.34,812.42K,0.41%
102,Canada,2020-06-19,437,46.07,46.5,46.88,45.92,3.34M,-1.12%
103,Canada,2020-06-22,340,46.1,45.96,46.21,45.46,744.27K,0.07%
104,Canada,2020-06-23,349,45.61,46.37,46.59,45.52,591.93K,-1.06%
105,Canada,2020-06-24,320,45.39,45.5,45.65,45.21,605.57K,-0.48%
106,Canada,2020-06-25,376,45.42,45.2,45.43,44.85,467.58K,0.07%
107,Canada,2020-06-26,166,44.58,45.24,45.42,44.45,520.27K,-1.85%
108,Canada,2020-06-29,637,45.2,44.62,45.39,44.61,616.23K,1.39%
109,Canada,2020-06-30,267,45.16,44.93,45.56,44.93,1.09M,-0.09%
110,Canada,2020-07-02,355,45.49,45.78,45.97,45.31,1.14M,0.73%
111,Canada,2020-07-03,319,45.39,45.67,45.82,45.23,129.82K,-0.22%
112,Canada,2020-07-06,421,45.47,45.76,45.83,45.28,1.37M,0.18%
113,Canada,2020-07-07,208,45.34,45.5,45.8,45.15,495.44K,-0.29%
114,Canada,2020-07-08,311,46.24,45.67,46.68,45.44,1.17M,1.99%
115,Canada,2020-07-09,322,45.95,46.4,46.4,45.25,1.62M,-0.63%
116,Canada,2020-07-10,328,46.6,45.89,47.12,45.5,2.68M,1.41%
117,Canada,2020-07-13,636,46.67,46.88,47.17,46.55,678.52K,0.15%
118,Canada,2020-07-14,366,47.45,46.5,47.63,46.48,1.32M,1.67%
119,Canada,2020-07-15,343,48.6,48.0,48.86,47.9,1.40M,2.42%
120,Canada,2020-07-16,451,48.95,48.3,48.95,48.1,1.09M,0.72%
121,Canada,2020-07-17,415,49.6,48.9,49.61,48.85,752.65K,1.33%
122,Canada,2020-07-20,770,49.48,49.6,50.1,48.6,1.00M,-0.24%
123,Canada,2020-07-21,535,48.13,49.47,49.5,48.13,439.59K,-2.73%
124,Canada,2020-07-22,317,48.37,48.4,48.97,48.11,366.42K,0.50%
125,Canada,2020-07-23,608,47.38,48.51,48.66,47.36,714.75K,-2.05%
126,Canada,2020-07-24,717,47.29,47.08,47.5,46.86,889.69K,-0.19%
127,Canada,2020-07-27,682,47.9,47.33,48.13,47.26,374.93K,1.29%
128,Canada,2020-07-28,400,47.77,47.91,48.58,47.6,669.76K,-0.27%
129,Canada,2020-07-29,486,48.0,47.9,48.18,47.73,444.14K,0.48%
130,Canada,2020-07-30,320,48.48,47.66,48.56,47.59,451.14K,1.00%
131,Canada,2020-07-31,604,48.98,48.26,49.01,48.0,677.29K,1.03%
132,Canada,2020-08-04,686,49.13,49.32,49.85,48.63,1.12M,0.31%
133,Canada,2020-08-05,374,49.38,49.05,49.41,48.88,386.31K,0.51%
134,Canada,2020-08-06,354,49.92,49.18,50.04,49.14,636.72K,1.09%
135,Canada,2020-08-07,516,50.13,49.96,50.42,49.64,664.33K,0.42%
136,Canada,2020-08-10,686,49.1,50.19,50.25,48.77,506.28K,-2.05%
137,Canada,2020-08-11,336,48.85,49.16,49.65,48.78,388.74K,-0.51%
138,Canada,2020-08-12,314,48.4,48.9,49.3,48.4,747.65K,-0.92%
139,Canada,2020-08-13,477,48.57,48.39,48.89,48.25,475.67K,0.35%
140,Canada,2020-08-14,425,49.05,48.53,49.08,48.45,360.20K,0.99%
141,Canada,2020-08-17,214,49.53,49.45,50.45,49.11,367.33K,0.98%
142,Canada,2020-08-18,866,50.07,49.59,50.08,49.25,443.22K,1.09%
143,Canada,2020-08-19,324,51.35,49.91,51.36,49.88,1.01M,2.56%
144,Canada,2020-08-20,217,53.11,51.35,53.22,51.07,1.09M,3.43%
145,Canada,2020-08-21,694,52.86,52.97,53.96,52.36,663.81K,-0.47%
146,Canada,2020-08-24,777,52.03,53.26,53.55,52.01,709.46K,-1.57%
147,Canada,2020-08-25,309,51.47,51.99,52.32,51.41,420.97K,-1.08%
148,Canada,2020-08-26,477,52.62,51.32,52.76,51.31,712.73K,2.23%
149,Canada,2020-08-27,456,52.04,52.65,52.65,51.43,552.02K,-1.10%
150,Canada,2020-08-28,506,51.83,52.06,52.06,51.04,1.05M,-0.40%
151,Canada,2020-08-31,1030,50.92,51.53,52.34,50.87,827.63K,-1.76%
152,Canada,2020-09-01,504,51.69,51.02,51.96,50.35,614.72K,1.51%
153,Canada,2020-09-02,519,51.44,52.25,52.75,50.51,1.20M,-0.48%
154,Canada,2020-09-03,586,51.01,51.51,52.11,50.73,624.81K,-0.84%
155,Canada,2020-09-04,614,49.42,51.08,51.08,49.1,912.08K,-3.12%
156,Canada,2020-09-08,1462,48.77,48.94,49.49,48.61,466.47K,-1.32%
157,Canada,2020-09-09,378,49.11,49.18,49.48,48.97,348.11K,0.70%
158,Canada,2020-09-10,821,49.32,49.39,49.54,48.88,522.35K,0.43%
159,Canada,2020-09-11,720,49.5,49.4,49.68,49.2,541.88K,0.36%
