,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
40,Canada,2020-04-08,1269,192.0,195.1,195.1,192.0,0.76K,-1.54%
41,Canada,2020-04-09,1513,194.0,194.0,194.0,194.0,0.43K,1.04%
42,Canada,2020-04-13,1381,210.0,199.99,210.0,197.45,2.72K,8.25%
43,Canada,2020-04-14,1355,207.95,217.27,217.95,200.0,1.53K,-0.98%
44,Canada,2020-04-15,1174,206.0,201.71,211.45,201.71,1.37K,-0.94%
45,Canada,2020-04-16,2600,200.0,203.0,203.0,200.0,0.42K,-2.91%
46,Canada,2020-04-17,2005,211.7,211.99,211.99,210.0,1.16K,5.85%
47,Canada,2020-04-20,2025,211.05,211.5,211.5,200.01,1.15K,-0.31%
48,Canada,2020-04-21,1744,200.01,200.01,200.01,200.01,0.30K,-5.23%
49,Canada,2020-04-23,1636,200.87,200.87,200.87,200.87,0.22K,0.43%
50,Canada,2020-04-24,1620,218.99,218.99,218.99,218.99,0.28K,9.02%
51,Canada,2020-04-27,1583,216.99,218.9,218.9,200.4,0.86K,-0.91%
52,Canada,2020-04-28,1534,217.9,215.0,217.9,205.01,0.71K,0.42%
53,Canada,2020-04-29,1715,221.0,218.0,239.99,218.0,3.61K,1.42%
54,Canada,2020-04-30,1592,216.01,221.03,221.03,216.01,0.75K,-2.26%
55,Canada,2020-05-01,1886,215.0,216.0,216.0,215.0,0.98K,-0.47%
56,Canada,2020-05-04,1453,201.0,212.0,212.0,197.01,1.40K,-6.51%
57,Canada,2020-05-05,1258,198.2,204.97,204.97,198.2,1.85K,-1.39%
58,Canada,2020-05-06,1479,199.57,201.0,201.0,195.0,3.25K,0.69%
59,Canada,2020-05-07,1507,198.0,209.98,209.98,198.0,1.35K,-0.79%
60,Canada,2020-05-08,1473,200.01,206.94,206.94,200.0,0.89K,1.02%
61,Canada,2020-05-11,1173,200.25,206.75,206.75,200.0,0.98K,0.12%
62,Canada,2020-05-12,1155,210.01,205.0,210.01,198.85,2.66K,4.87%
63,Canada,2020-05-13,1149,205.0,220.0,220.0,200.0,1.31K,-2.39%
64,Canada,2020-05-14,1213,210.0,205.0,210.0,196.01,1.58K,2.44%
65,Canada,2020-05-15,1178,204.0,204.0,204.0,204.0,0.28K,-2.86%
66,Canada,2020-05-19,1082,209.0,204.0,210.0,204.0,0.89K,2.45%
67,Canada,2020-05-20,1082,219.99,209.0,219.99,209.0,0.51K,5.26%
68,Canada,2020-05-21,1167,204.44,204.44,204.44,204.44,0.42K,-7.07%
69,Canada,2020-05-22,1205,216.75,217.99,217.99,210.0,1.02K,6.02%
70,Canada,2020-05-25,1013,215.0,215.01,224.99,214.99,3.53K,-0.81%
