"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2020","143.85","143.97","144.14","142.85","3.51M","0.21%"
"Oct 22, 2020","143.55","144.24","144.55","142.70","4.45M","-0.59%"
"Oct 21, 2020","144.40","144.14","145.69","143.88","4.37M","0.35%"
"Oct 20, 2020","143.90","144.00","145.53","143.69","4.84M","0.66%"
"Oct 19, 2020","142.95","145.14","145.37","142.76","4.88M","-1.22%"
"Oct 16, 2020","144.71","145.40","146.15","144.47","5.65M","0.12%"
"Oct 15, 2020","144.53","143.31","144.95","143.28","4.57M","0.41%"
"Oct 14, 2020","143.94","146.45","146.49","143.77","6.57M","-1.57%"
"Oct 13, 2020","146.23","144.44","146.60","144.38","7.93M","1.37%"
"Oct 12, 2020","144.25","143.24","145.39","143.20","6.13M","1.03%"
"Oct 09, 2020","142.78","141.66","143.34","141.56","4.83M","1.00%"
"Oct 08, 2020","141.36","141.50","142.09","141.13","4.89M","0.33%"
"Oct 07, 2020","140.89","141.28","141.55","140.29","5.65M","0.18%"
"Oct 06, 2020","140.63","141.93","142.92","140.26","7.16M","-0.83%"
"Oct 05, 2020","141.80","141.29","142.19","141.07","4.75M","0.93%"
"Oct 02, 2020","140.50","142.34","143.10","140.13","8.19M","-1.80%"
"Oct 01, 2020","143.08","140.83","144.34","140.29","14.43M","2.27%"
"Sep 30, 2020","139.91","137.32","141.74","137.25","11.61M","2.02%"
"Sep 29, 2020","137.14","137.40","138.14","136.39","9.24M","-0.08%"
"Sep 28, 2020","137.25","137.38","138.04","136.73","7.07M","-0.01%"
"Sep 25, 2020","137.27","136.52","137.54","135.96","7.54M","0.42%"
"Sep 24, 2020","136.70","136.01","137.79","135.09","9.82M","0.52%"
"Sep 23, 2020","135.99","138.97","139.24","135.84","7.71M","-1.68%"
"Sep 22, 2020","138.31","137.18","138.97","136.60","11.03M","0.90%"
"Sep 21, 2020","137.07","136.40","137.23","135.31","15.76M","1.32%"
"Sep 18, 2020","135.29","136.44","137.53","134.75","18.24M","-1.02%"
"Sep 17, 2020","136.69","135.59","137.52","135.16","12.42M","0.32%"
"Sep 16, 2020","136.26","138.34","138.57","136.07","9.29M","-0.80%"
"Sep 15, 2020","137.36","138.17","139.05","136.73","10.14M","0.03%"
"Sep 14, 2020","137.32","136.26","141.00","135.91","15.24M","0.45%"
"Sep 11, 2020","136.70","137.05","138.44","135.55","9.63M","-0.08%"
"Sep 10, 2020","136.81","140.08","140.50","136.65","11.24M","-2.20%"
"Sep 09, 2020","139.89","139.84","142.60","139.49","11.22M","1.04%"
"Sep 08, 2020","138.45","141.41","141.77","138.28","11.32M","-3.07%"
"Sep 04, 2020","142.83","144.02","145.04","140.10","11.33M","-1.18%"
"Sep 03, 2020","144.54","146.91","149.58","141.90","16.01M","-2.13%"
"Sep 02, 2020","147.68","151.08","151.08","145.69","17.22M","0.06%"
"Sep 01, 2020","147.59","141.20","149.59","140.05","35.20M","6.29%"
"Aug 31, 2020","138.85","137.56","138.86","135.54","15.08M","-1.03%"
"Aug 28, 2020","140.30","141.00","141.07","137.84","21.35M","2.69%"
"Aug 27, 2020","136.63","131.09","139.33","130.92","39.67M","4.54%"
"Aug 26, 2020","130.70","130.25","130.87","129.70","6.27M","0.05%"
"Aug 25, 2020","130.63","130.83","131.20","129.69","7.24M","-0.53%"
"Aug 24, 2020","131.33","132.25","132.41","130.33","6.60M","-0.23%"
"Aug 21, 2020","131.63","130.55","132.67","130.10","8.29M","0.81%"
"Aug 20, 2020","130.57","131.32","132.06","130.06","8.94M","-1.39%"
"Aug 19, 2020","132.41","134.47","134.59","131.87","12.72M","-1.71%"
"Aug 18, 2020","134.71","136.39","137.40","133.19","26.74M","-0.66%"
"Aug 17, 2020","135.60","134.20","136.11","133.92","13.15M","2.26%"
"Aug 14, 2020","132.60","132.34","132.97","131.63","6.70M","0.57%"
"Aug 13, 2020","131.85","131.34","131.95","130.73","6.62M","-0.03%"
"Aug 12, 2020","131.89","130.37","132.22","129.83","6.37M","1.30%"
"Aug 11, 2020","130.20","132.51","132.84","129.76","8.45M","-1.27%"
"Aug 10, 2020","131.88","130.14","132.32","129.67","5.89M","1.47%"
"Aug 07, 2020","129.97","129.58","130.46","129.11","5.52M","0.48%"
"Aug 06, 2020","129.35","129.47","130.21","129.03","4.83M","-0.35%"
"Aug 05, 2020","129.81","130.61","130.66","128.83","8.50M","-1.39%"
"Aug 04, 2020","131.64","129.50","131.70","129.00","6.07M","1.81%"
"Aug 03, 2020","129.30","130.02","130.10","128.29","4.99M","-0.08%"
"Jul 31, 2020","129.40","129.65","130.09","127.62","7.21M","-0.55%"
"Jul 30, 2020","130.12","129.37","130.41","128.72","4.60M","-0.44%"
"Jul 29, 2020","130.69","131.56","131.86","129.85","4.74M","-0.81%"
"Jul 28, 2020","131.76","131.42","132.37","130.92","4.80M","0.42%"
"Jul 27, 2020","131.21","131.25","131.97","130.91","4.68M","-0.02%"
"Jul 24, 2020","131.24","130.95","132.40","130.51","4.35M","-0.30%"
"Jul 23, 2020","131.64","132.98","133.12","131.33","5.60M","-0.77%"
"Jul 22, 2020","132.66","132.59","133.01","131.19","5.39M","0.25%"
"Jul 21, 2020","132.33","131.58","133.98","131.45","7.24M","0.65%"
"Jul 20, 2020","131.47","131.96","132.74","131.14","6.11M","-0.20%"
"Jul 17, 2020","131.74","133.37","133.37","131.47","6.06M","-0.35%"
"Jul 16, 2020","132.20","132.13","132.70","131.24","5.89M","0.15%"
"Jul 15, 2020","132.00","132.44","134.12","130.88","10.58M","-0.01%"
"Jul 14, 2020","132.01","129.20","132.48","129.04","8.82M","1.92%"
"Jul 13, 2020","129.52","131.33","133.63","128.99","14.11M","-0.89%"
"Jul 10, 2020","130.68","128.74","131.37","127.26","14.75M","2.29%"
"Jul 09, 2020","127.75","125.66","128.16","124.99","14.26M","2.66%"
"Jul 08, 2020","124.44","128.03","128.03","124.43","17.41M","-1.98%"
"Jul 07, 2020","126.95","118.45","127.55","118.22","31.15M","6.78%"
"Jul 06, 2020","118.89","119.79","119.83","118.23","7.23M","-0.27%"
"Jul 02, 2020","119.21","120.09","120.88","118.86","5.90M","-0.40%"
"Jul 01, 2020","119.69","119.45","119.92","118.66","6.58M","-0.08%"
"Jun 30, 2020","119.78","119.22","120.11","118.54","6.84M","0.60%"
"Jun 29, 2020","119.06","118.62","119.65","118.25","5.50M","0.63%"
"Jun 26, 2020","118.32","119.60","120.82","118.04","9.00M","-1.16%"
"Jun 25, 2020","119.71","120.03","120.14","118.43","6.86M","-0.49%"
"Jun 24, 2020","120.30","120.74","121.10","119.63","6.87M","-0.64%"
"Jun 23, 2020","121.07","122.68","122.85","121.00","6.58M","-0.50%"
"Jun 22, 2020","121.68","120.94","122.09","120.40","9.11M","1.53%"
"Jun 19, 2020","119.85","118.89","120.12","117.75","13.34M","1.58%"
"Jun 18, 2020","117.99","118.74","119.03","117.67","6.69M","-0.87%"
"Jun 17, 2020","119.03","120.00","120.10","118.43","6.72M","-0.52%"
"Jun 16, 2020","119.65","120.02","120.09","118.55","8.40M","1.33%"
"Jun 15, 2020","118.08","118.27","118.66","117.04","10.90M","0.29%"
"Jun 12, 2020","117.74","120.51","120.75","117.06","10.79M","-1.96%"
"Jun 11, 2020","120.09","120.88","122.57","119.50","11.39M","-0.88%"
