"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2020","15.61","15.60","16.21","15.38","4.16M","0.58%"
"Oct 16, 2020","15.52","15.60","15.70","15.40","2.24M","0.00%"
"Oct 15, 2020","15.52","15.59","15.60","15.21","3.63M","-1.52%"
"Oct 14, 2020","15.76","15.83","16.16","15.73","2.69M","-0.13%"
"Oct 13, 2020","15.78","16.30","16.33","15.58","3.36M","-1.93%"
"Oct 09, 2020","16.09","16.80","16.80","16.06","4.31M","-4.00%"
"Oct 08, 2020","16.76","16.32","16.82","16.06","4.09M","4.10%"
"Oct 07, 2020","16.10","15.76","16.28","15.67","4.47M","3.74%"
"Oct 06, 2020","15.52","15.72","15.88","15.52","5.04M","0.13%"
"Oct 05, 2020","15.50","15.78","15.82","15.32","2.60M","-0.90%"
"Oct 02, 2020","15.64","15.50","15.77","15.47","3.52M","-1.94%"
"Oct 01, 2020","15.95","15.56","15.98","15.32","4.08M","1.66%"
"Sep 30, 2020","15.69","15.35","16.16","15.33","4.87M","2.68%"
"Sep 29, 2020","15.28","15.83","15.90","15.21","4.47M","-3.72%"
"Sep 28, 2020","15.87","16.16","16.16","15.82","3.45M","0.44%"
"Sep 25, 2020","15.80","16.09","16.12","15.59","3.73M","-1.50%"
"Sep 24, 2020","16.04","15.95","16.12","15.32","4.65M","0.19%"
"Sep 23, 2020","16.01","16.63","16.88","16.00","4.44M","-2.97%"
"Sep 22, 2020","16.50","16.67","16.95","16.26","3.79M","-0.06%"
"Sep 21, 2020","16.51","17.41","17.45","16.38","6.30M","-8.18%"
"Sep 18, 2020","17.98","18.88","19.00","17.88","6.44M","-5.62%"
"Sep 17, 2020","19.05","18.56","19.22","18.53","4.33M","0.42%"
"Sep 16, 2020","18.97","18.05","19.48","18.05","7.97M","5.74%"
"Sep 15, 2020","17.94","18.13","18.33","17.92","2.56M","-0.72%"
"Sep 14, 2020","18.07","17.99","18.36","17.86","3.64M","1.80%"
"Sep 11, 2020","17.75","17.96","18.08","17.55","3.65M","-0.34%"
"Sep 10, 2020","17.81","17.99","18.43","17.78","4.52M","-0.06%"
"Sep 09, 2020","17.82","18.30","18.55","17.59","4.56M","-2.14%"
"Sep 08, 2020","18.21","18.32","18.65","17.86","5.47M","-2.25%"
"Sep 04, 2020","18.63","18.30","18.90","18.16","7.68M","3.79%"
"Sep 03, 2020","17.95","18.18","18.97","17.90","8.89M","-0.83%"
"Sep 02, 2020","18.10","17.65","18.12","17.44","4.13M","2.84%"
"Sep 01, 2020","17.60","17.44","17.83","17.10","4.92M","0.00%"
"Aug 31, 2020","17.60","17.98","18.20","17.50","6.09M","-2.17%"
"Aug 28, 2020","17.99","17.30","17.99","17.30","8.39M","4.65%"
"Aug 27, 2020","17.19","16.78","17.30","16.71","9.34M","4.18%"
"Aug 26, 2020","16.50","16.69","16.75","16.36","3.81M","-1.08%"
"Aug 25, 2020","16.68","17.10","17.33","16.47","4.66M","-1.71%"
"Aug 24, 2020","16.97","16.20","17.00","16.15","7.14M","6.13%"
"Aug 21, 2020","15.99","16.10","16.38","15.90","2.59M","-1.17%"
"Aug 20, 2020","16.18","16.10","16.34","15.95","2.37M","-1.28%"
"Aug 19, 2020","16.39","15.87","16.62","15.86","4.43M","3.28%"
"Aug 18, 2020","15.87","16.21","16.35","15.79","3.30M","-1.92%"
"Aug 17, 2020","16.18","16.92","16.93","16.11","4.12M","-3.98%"
"Aug 14, 2020","16.85","16.95","17.11","16.68","3.00M","-1.35%"
"Aug 13, 2020","17.08","16.82","17.49","16.75","4.96M","0.77%"
"Aug 12, 2020","16.95","16.90","16.99","16.42","4.69M","1.56%"
"Aug 11, 2020","16.69","16.87","17.00","16.50","6.19M","2.83%"
"Aug 10, 2020","16.23","15.90","16.64","15.76","6.27M","3.18%"
"Aug 07, 2020","15.73","15.91","15.95","15.58","2.84M","-1.38%"
"Aug 06, 2020","15.95","15.83","16.09","15.51","4.36M","1.46%"
"Aug 05, 2020","15.72","15.37","15.84","15.02","4.77M","3.97%"
"Aug 04, 2020","15.12","15.44","15.76","15.03","5.62M","0.07%"
"Jul 31, 2020","15.11","16.00","16.05","15.02","7.40M","-6.09%"
"Jul 30, 2020","16.09","16.17","16.24","16.00","3.52M","-1.65%"
"Jul 29, 2020","16.36","16.75","16.87","16.30","2.47M","-2.21%"
"Jul 28, 2020","16.73","16.18","16.98","16.16","3.79M","2.45%"
"Jul 27, 2020","16.33","16.44","16.47","16.15","1.90M","-0.85%"
"Jul 24, 2020","16.47","16.70","16.72","16.33","2.67M","-2.08%"
"Jul 23, 2020","16.82","16.84","17.08","16.52","3.17M","-0.12%"
"Jul 22, 2020","16.84","16.93","17.19","16.83","2.69M","-0.77%"
"Jul 21, 2020","16.97","17.14","17.28","16.95","3.10M","-0.06%"
"Jul 20, 2020","16.98","17.00","17.18","16.58","2.93M","0.30%"
"Jul 17, 2020","16.93","17.61","17.70","16.90","3.90M","-3.15%"
"Jul 16, 2020","17.48","17.56","17.73","17.05","6.91M","-3.96%"
"Jul 15, 2020","18.20","16.43","18.45","16.37","11.78M","13.82%"
"Jul 14, 2020","15.99","16.16","16.28","15.96","4.06M","-2.26%"
"Jul 13, 2020","16.36","16.31","16.78","15.95","4.40M","1.18%"
"Jul 10, 2020","16.17","16.11","16.64","16.01","4.06M","-0.19%"
"Jul 09, 2020","16.20","16.52","16.86","15.90","4.66M","-2.23%"
"Jul 08, 2020","16.57","16.09","16.58","15.92","4.51M","2.22%"
"Jul 07, 2020","16.21","16.71","16.73","16.11","5.31M","-4.20%"
"Jul 06, 2020","16.92","17.40","17.54","16.80","3.89M","-1.69%"
"Jul 03, 2020","17.21","17.15","17.31","17.02","1.14M","0.47%"
"Jul 02, 2020","17.13","17.26","17.40","17.07","4.27M","1.06%"
"Jun 30, 2020","16.95","17.38","17.46","16.75","5.01M","-3.03%"
"Jun 29, 2020","17.48","16.84","17.69","16.38","5.08M","4.67%"
"Jun 26, 2020","16.70","17.08","17.18","16.55","4.19M","-2.34%"
"Jun 25, 2020","17.10","16.97","17.66","16.75","5.07M","-0.52%"
