"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2020","218.82","219.42","220.51","213.34","46.47K","-1.32%"
"Oct 29, 2020","221.75","224.24","224.39","221.17","32.71K","0.34%"
"Oct 28, 2020","220.99","224.54","225.19","219.45","39.86K","-1.85%"
"Oct 27, 2020","225.15","220.77","225.16","220.00","38.32K","2.04%"
"Oct 26, 2020","220.64","222.03","224.00","217.62","35.96K","-1.50%"
"Oct 23, 2020","224.01","225.80","226.23","222.91","39.27K","-0.95%"
"Oct 22, 2020","226.15","226.82","229.29","222.32","71.74K","0.11%"
"Oct 21, 2020","225.91","227.64","228.32","225.90","34.75K","-1.26%"
"Oct 20, 2020","228.80","231.02","231.02","227.00","29.52K","-0.12%"
"Oct 19, 2020","229.07","229.72","232.00","224.37","63.43K","-0.27%"
"Oct 16, 2020","229.69","232.00","236.18","227.99","51.55K","-0.13%"
"Oct 15, 2020","230.00","225.99","230.18","221.62","58.58K","1.51%"
"Oct 14, 2020","226.57","226.52","230.50","225.44","56.43K","0.80%"
"Oct 13, 2020","224.77","222.30","229.90","222.30","102.06K","1.11%"
"Oct 09, 2020","222.30","218.45","223.98","217.46","70.59K","4.09%"
"Oct 08, 2020","213.57","211.84","214.82","207.00","62.18K","2.12%"
"Oct 07, 2020","209.14","207.00","213.17","203.83","67.38K","1.68%"
"Oct 06, 2020","205.69","197.94","206.78","197.94","100.90K","5.10%"
"Oct 05, 2020","195.71","195.23","195.71","190.25","53.01K","0.53%"
"Oct 02, 2020","194.67","194.90","195.55","192.40","41.21K","-0.07%"
"Oct 01, 2020","194.80","192.90","195.62","190.79","48.81K","2.14%"
"Sep 30, 2020","190.71","194.10","195.50","190.03","43.65K","-1.23%"
"Sep 29, 2020","193.09","191.69","193.12","188.63","37.65K","1.36%"
"Sep 28, 2020","190.50","191.08","192.75","189.48","33.66K","0.36%"
"Sep 25, 2020","189.81","189.67","193.00","188.62","38.35K","-0.03%"
"Sep 24, 2020","189.86","185.89","190.40","183.07","39.61K","2.04%"
"Sep 23, 2020","186.07","192.52","192.52","185.50","33.30K","-3.00%"
"Sep 22, 2020","191.82","191.42","192.75","188.39","86.32K","0.09%"
"Sep 21, 2020","191.65","184.49","192.00","180.70","137.63K","2.48%"
"Sep 18, 2020","187.01","190.29","192.20","183.76","101.29K","-1.28%"
"Sep 17, 2020","189.44","187.18","190.85","186.30","56.63K","-0.04%"
"Sep 16, 2020","189.51","185.52","193.44","184.98","121.57K","3.99%"
"Sep 15, 2020","182.23","184.35","185.87","179.68","58.91K","-0.56%"
"Sep 14, 2020","183.25","177.55","183.64","177.54","83.52K","3.97%"
"Sep 11, 2020","176.25","174.37","178.01","173.76","164.76K","0.62%"
"Sep 10, 2020","175.16","170.12","177.37","169.20","96.77K","3.39%"
"Sep 09, 2020","169.42","163.27","170.75","163.27","95.98K","4.21%"
"Sep 08, 2020","162.57","166.00","169.46","161.84","279.66K","-5.49%"
"Sep 04, 2020","172.02","174.73","175.31","168.42","37.35K","-1.97%"
"Sep 03, 2020","175.48","176.99","177.78","174.50","46.28K","-0.30%"
"Sep 02, 2020","176.00","181.57","181.57","175.91","36.50K","-1.81%"
"Sep 01, 2020","179.24","178.38","180.48","178.38","30.83K","0.70%"
"Aug 31, 2020","178.00","178.68","179.65","176.71","31.75K","0.76%"
"Aug 28, 2020","176.65","175.00","178.30","174.99","37.88K","0.84%"
"Aug 27, 2020","175.18","182.01","182.10","174.80","78.76K","-3.72%"
"Aug 26, 2020","181.95","180.00","182.70","178.00","38.25K","1.82%"
"Aug 25, 2020","178.70","178.54","181.03","178.12","33.35K","-0.35%"
"Aug 24, 2020","179.33","182.79","182.90","179.00","37.44K","-2.14%"
