"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","46.07","46.50","46.88","45.92","3.34M","-1.12%"
"Jun 18, 2020","46.59","46.39","46.84","46.34","812.42K","0.41%"
"Jun 17, 2020","46.40","47.00","47.80","46.32","1.55M","-3.03%"
"Jun 16, 2020","47.85","47.97","48.93","47.53","1.26M","1.72%"
"Jun 15, 2020","47.04","47.55","47.67","46.95","944.82K","-1.80%"
"Jun 12, 2020","47.90","47.68","48.44","47.43","924.12K","1.96%"
"Jun 11, 2020","46.98","47.57","47.69","46.53","983.50K","-2.17%"
"Jun 10, 2020","48.02","47.91","49.71","47.01","1.94M","2.52%"
"Jun 09, 2020","46.84","46.71","47.43","46.58","825.36K","-0.19%"
"Jun 08, 2020","46.93","47.70","47.75","46.75","1.21M","-1.57%"
"Jun 05, 2020","47.68","48.55","48.62","47.44","1.07M","-0.65%"
"Jun 04, 2020","47.99","48.80","49.06","47.89","957.75K","-2.14%"
"Jun 03, 2020","49.04","49.64","49.97","48.66","1.02M","-0.41%"
"Jun 02, 2020","49.24","48.11","49.84","48.11","1.01M","2.35%"
"Jun 01, 2020","48.11","46.60","48.46","46.57","1.32M","3.06%"
"May 29, 2020","46.68","46.33","46.82","46.00","1.02M","0.73%"
"May 28, 2020","46.34","45.32","46.51","45.20","795.77K","3.21%"
"May 27, 2020","44.90","44.91","45.68","44.34","533.49K","0.70%"
"May 26, 2020","44.59","45.01","45.35","44.13","607.75K","-0.36%"
"May 25, 2020","44.75","44.45","45.39","44.31","350.17K","1.66%"
"May 22, 2020","44.02","43.86","44.52","43.63","445.81K","0.25%"
"May 21, 2020","43.91","43.19","44.04","42.61","606.83K","1.74%"
"May 20, 2020","43.16","44.00","44.25","43.02","827.03K","-1.01%"
"May 19, 2020","43.60","42.70","43.94","42.47","811.46K","3.81%"
"May 15, 2020","42.00","41.68","42.27","41.61","513.72K","0.07%"
"May 14, 2020","41.97","41.89","42.04","41.12","641.02K","-0.17%"
"May 13, 2020","42.04","42.81","43.27","41.78","582.49K","-2.00%"
"May 12, 2020","42.90","44.18","44.24","42.84","736.14K","-2.94%"
"May 11, 2020","44.20","43.72","44.47","43.72","1.92M","0.57%"
"May 08, 2020","43.95","43.94","44.62","43.69","1.34M","0.64%"
"May 07, 2020","43.67","43.34","43.86","42.77","488.80K","2.13%"
"May 06, 2020","42.76","42.71","43.48","42.37","995.76K","0.38%"
"May 05, 2020","42.60","42.77","43.15","42.46","656.59K","0.00%"
"May 04, 2020","42.60","42.51","43.03","42.35","1.20M","-0.37%"
"May 01, 2020","42.76","43.22","43.29","42.33","1.20M","-2.06%"
"Apr 30, 2020","43.66","44.14","44.42","43.22","845.10K","-1.95%"
"Apr 29, 2020","44.53","43.95","44.71","43.56","645.64K","1.74%"
"Apr 28, 2020","43.77","43.99","44.25","43.38","526.49K","0.16%"
"Apr 27, 2020","43.70","43.55","43.82","43.20","490.55K","0.64%"
"Apr 24, 2020","43.42","42.62","43.55","42.50","960.67K","2.04%"
"Apr 23, 2020","42.55","43.71","43.99","42.44","803.38K","-3.41%"
"Apr 22, 2020","44.05","42.86","44.17","42.57","550.88K","2.94%"
"Apr 21, 2020","42.79","42.82","43.80","42.18","1.09M","-0.83%"
"Apr 20, 2020","43.15","43.95","44.15","42.93","1.04M","-2.04%"
"Apr 17, 2020","44.05","44.00","44.49","42.78","812.52K","2.13%"
"Apr 16, 2020","43.13","42.88","43.39","42.42","763.40K","0.79%"
"Apr 15, 2020","42.79","41.91","42.79","41.26","550.72K","1.18%"
"Apr 14, 2020","42.29","42.00","43.32","41.93","674.22K","1.88%"
"Apr 13, 2020","41.51","40.83","41.76","39.89","702.62K","1.24%"
"Apr 09, 2020","41.00","41.47","41.86","40.57","2.40M","-0.24%"
"Apr 08, 2020","41.10","40.84","41.60","40.10","1.46M","1.73%"
"Apr 07, 2020","40.40","41.63","42.00","40.17","744.49K","0.67%"
"Apr 06, 2020","40.13","39.25","40.31","38.13","1.03M","4.21%"
"Apr 03, 2020","38.51","38.56","38.91","38.04","697.61K","-0.23%"
"Apr 02, 2020","38.60","38.28","38.91","37.20","1.43M","-0.82%"
"Apr 01, 2020","38.92","39.04","39.56","37.52","1.19M","-0.31%"
"Mar 31, 2020","39.04","40.00","41.49","38.89","1.70M","-4.27%"
"Mar 30, 2020","40.78","39.32","40.89","39.28","914.07K","3.90%"
"Mar 27, 2020","39.25","41.00","41.12","38.78","1.29M","-7.47%"
"Mar 26, 2020","42.42","41.54","42.57","40.48","1.75M","2.69%"
"Mar 25, 2020","41.31","38.01","42.89","38.01","2.06M","9.08%"
"Mar 24, 2020","37.87","36.89","38.36","36.40","1.53M","6.83%"
"Mar 23, 2020","35.45","35.22","38.41","34.89","1.55M","-3.72%"
"Mar 20, 2020","36.82","38.80","40.85","36.30","2.79M","-5.49%"
"Mar 19, 2020","38.96","35.50","39.51","34.70","1.21M","8.64%"
"Mar 18, 2020","35.86","35.82","36.98","34.95","1.70M","-5.51%"
"Mar 17, 2020","37.95","37.49","39.14","36.85","2.19M","2.02%"
"Mar 16, 2020","37.20","37.23","38.66","35.90","1.73M","-6.88%"
